"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 06 21:41:19 GMT 2022","Wed Jul 06 21:42:26 GMT 2022","66071","","TestMusics","","TestMusics","addNewMusic","Műveletek: Új zene hozzáadása","Új zene hozzáadása az adatbázishoz"
"passed","Wed Jul 06 21:39:00 GMT 2022","Wed Jul 06 21:39:13 GMT 2022","12497","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Wed Jul 06 21:39:37 GMT 2022","Wed Jul 06 21:39:44 GMT 2022","7629","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [2] BTOB, Cube","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Wed Jul 06 21:40:31 GMT 2022","Wed Jul 06 21:40:38 GMT 2022","7240","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [9] DAY6, JYP","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Wed Jul 06 21:43:00 GMT 2022","Wed Jul 06 21:43:04 GMT 2022","3682","","TestAlbums","","TestAlbums","checkingPaginationNextButton","Lapozási gomb eltűnésének tesztelése az Albumok oldalon","Lapozási gomb eltűnésének tesztelése az Albumok oldalon"
"broken","Wed Jul 06 21:42:26 GMT 2022","Wed Jul 06 21:43:00 GMT 2022","34721","","TestMusics","","TestMusics","modifyMusicDetails","Műveletek: zene adatainak módosítása","Meglévő zene adatainak módosítása"
"passed","Wed Jul 06 21:39:13 GMT 2022","Wed Jul 06 21:39:15 GMT 2022","2659","","TestLogin","","TestLogin","loginWithoutActivatingUserProfile","Bejelentkezés inaktív fiókba","Bejelentkezés valós belépési adatokkal, nem aktivált fiókba (DT-3 alapján)"
"passed","Wed Jul 06 21:39:29 GMT 2022","Wed Jul 06 21:39:37 GMT 2022","7076","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [1] iKON, YG","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Wed Jul 06 21:39:44 GMT 2022","Wed Jul 06 21:39:55 GMT 2022","10777","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [3] Winner, YG","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Wed Jul 06 21:40:09 GMT 2022","Wed Jul 06 21:40:17 GMT 2022","7851","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [6] (G)I-dle, Cube","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Wed Jul 06 21:43:08 GMT 2022","Wed Jul 06 21:43:10 GMT 2022","2454","","TestHome","","TestHome","collectAlbumTitlesFromHomepage","Adatok kigyűjtése a kezdőlapról","Az oldalon szereplő 10 album címének kigyűjtése egy TXT kiterjesztésű fájlba a kezdőlapról"
"passed","Wed Jul 06 21:39:15 GMT 2022","Wed Jul 06 21:39:21 GMT 2022","5616","","TestLogin","","TestLogin","successfulLogin","Sikeres bejelentkezés","Bejelentkezés tesztelése valós belépési adatokkal (DT-1 alapján)"
"passed","Wed Jul 06 21:40:38 GMT 2022","Wed Jul 06 21:40:45 GMT 2022","6718","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [10] ONEUS, RBW Entertainment","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"broken","Wed Jul 06 21:40:45 GMT 2022","Wed Jul 06 21:41:19 GMT 2022","34628","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","Felhasználó által hozzáadott fordítás törlése","Felhasználó által hozzáadott fordítás törlése"
"passed","Wed Jul 06 21:40:24 GMT 2022","Wed Jul 06 21:40:31 GMT 2022","6605","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [8] CLC, Cube","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Wed Jul 06 21:40:17 GMT 2022","Wed Jul 06 21:40:24 GMT 2022","6947","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [7] GOT7, JYP","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Wed Jul 06 21:39:55 GMT 2022","Wed Jul 06 21:40:02 GMT 2022","7479","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [4] Pentagon, Cube","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"skipped","Wed Jul 06 21:39:00 GMT 2022","Wed Jul 06 21:39:00 GMT 2022","1","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Wed Jul 06 21:39:23 GMT 2022","Wed Jul 06 21:39:29 GMT 2022","6061","","TestLogout","","TestLogout","successfulLogout","Kijelentkezés tesztelése","Kijelentkezés felhasználói fiókból"
"passed","Wed Jul 06 21:43:04 GMT 2022","Wed Jul 06 21:43:08 GMT 2022","3682","","TestAlbums","","TestAlbums","checkingPaginationChangeContent","Lapozás tesztelése az Albumok oldalon","Annak ellenőrzése, hogy a lapozás során változik-e az oldal tartalom"
"passed","Wed Jul 06 21:39:21 GMT 2022","Wed Jul 06 21:39:23 GMT 2022","2469","","TestLogin","","TestLogin","correctFailedLoginMessage","Sikertelen bejelentkezés: megfelelő üzenet sikertelen bejelentkezés esetén","Bejelentkezés tesztelése hibás belépési adatokkal (DT-8 alapján)"
"passed","Wed Jul 06 21:43:10 GMT 2022","Wed Jul 06 21:43:12 GMT 2022","2161","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","Kiadók nevének kilistázása","Az összes kiadó nevének kilistázása"
"passed","Wed Jul 06 21:40:02 GMT 2022","Wed Jul 06 21:40:09 GMT 2022","6982","","TestArtists","","TestArtists","addArtistsRepeatedly","Előadók sorozatos hozzáadása az adatbázishoz külső adatforrásból [5] Treasure, YG","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
